Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
6/27/2024 9:34:29,Jack,J Glob Antimicrob Resist. 2018 Mar;12:61-62. doi: 10.1016/j.jgar.2017.12.002. Epub 2017 Dec 14.,29248601,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:00:18,EW,Diabetol Metab Syndr. 2017 Dec 28;9:102. doi: 10.1186/s13098-017-0299-9. eCollection 2017.,29299069,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 12:06:44,Jack,Diabetol Metab Syndr. 2017 Dec 28;9:102. doi: 10.1186/s13098-017-0299-9. eCollection 2017.,29299069,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:26:37,EW,Clin Sci (Lond). 2018 Jan 11;132(1):85-91. doi: 10.1042/CS20171090. Print 2018 Jan 16.,29326279,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 11:41:38,Jack,Clin Sci (Lond). 2018 Jan 11;132(1):85-91. doi: 10.1042/CS20171090. Print 2018 Jan 16.,29326279,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:32:22,EW,Sci Rep. 2018 Jan 12;8(1):635. doi: 10.1038/s41598-017-18756-2.,29330424,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","medical history of CHF either from ICM or DCM for more than 6 months, the New York Heart Association functional classification II to IV and left ventricular ejection fraction 40%. ",China,"Yes, measures untargeted metabolomics","LC-MS, liquid chromatography mass spectrometry","Plasma, Fecal / Stool sample",Yes,stool metagenome,No,The datasets generated during and/or analysed during the current study are available from the corresponding author on reasonable request.,1 = somewhat representative of the average patient in the community (eg only heart failure subtype or specific comorbidities),"0 = drawn from a different source (eg, nonhospitalized controls)",1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),0 = no adjustment for or discussion of potential confounders,1 = objective measure (biological specimen used for metabolomics),,CHF = 53; 
6/27/2024 17:40:49,Jack,Sci Rep. 2018 Jan 12;8(1):635. doi: 10.1038/s41598-017-18756-2.,29330424,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",Demographic and clinical characteristics were obtained through face-to-face survey and checking hospital records or medical examination records,China,"Yes, measures untargeted metabolomics","LC-MS, liquid chromatography mass spectrometry","Plasma, Fecal / Stool sample",Yes,paired-end sequenced,No,The datasets generated during and/or analysed during the current study are available from the corresponding author on reasonable request.,1 = truly representative of the average patient in the community (any heart failure patient),1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),1 = medical chart review,0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),I don't know,1 = objective measure (biological specimen used for metabolomics),,"41 control; 53 chronic heart failure patients (CHF; ischaemic cardiomyopathy, ICM, n = 29; dilated cardiomyopathy, DCM, n = 24) "
4/16/2024 14:25:46,EW,Circ Res. 2018 Jan 19;122(2):337-351. doi: 10.1161/CIRCRESAHA.117.310795.,29348254,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 11:39:26,Jack,Circ Res. 2018 Jan 19;122(2):337-351. doi: 10.1161/CIRCRESAHA.117.310795.,29348254,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:19:48,EW,Biochem J. 2018 Mar 6;475(5):839-852. doi: 10.1042/BCJ20170714.,29511093,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,"mitocondria, inflamation, and HF",
6/27/2024 9:30:53,Jack,Biochem J. 2018 Mar 6;475(5):839-852. doi: 10.1042/BCJ20170714.,29511093,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:09:13,EW,Eur J Pharm Sci. 2018 May 30;117:351-361. doi: 10.1016/j.ejps.2018.03.011. Epub 2018 Mar 8.,29526765,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics","NMR, Nuclear magnetic resonance spectrometry",Plasma,,,,,,,,,,,coronary artery disease,
6/25/2024 9:37:43,Jack,Eur J Pharm Sci. 2018 May 30;117:351-361. doi: 10.1016/j.ejps.2018.03.011. Epub 2018 Mar 8.,29526765,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 13:27:02,EW,Rheumatology (Oxford). 2019 Jan 1;58(1):27-44. doi: 10.1093/rheumatology/key002.,29547895,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/30/2024 15:37:33,Jack,Rheumatology (Oxford). 2019 Jan 1;58(1):27-44. doi: 10.1093/rheumatology/key002.,29547895,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 13:51:47,EW,Chest. 2018 Oct;154(4):754-759. doi: 10.1016/j.chest.2018.03.001. Epub 2018 Mar 14.,29548630,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:39:27,Jack,Chest. 2018 Oct;154(4):754-759. doi: 10.1016/j.chest.2018.03.001. Epub 2018 Mar 14.,29548630,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:05:23,EW,Eur J Prev Cardiol. 2018 Jul;25(10):1116. doi: 10.1177/2047487318767476. Epub 2018 Mar 23.,29569491,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:53:32,Jack,Eur J Prev Cardiol. 2018 Jul;25(10):1116. doi: 10.1177/2047487318767476. Epub 2018 Mar 23.,29569491,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 17:06:39,EW,Emerg Microbes Infect. 2016 Jan 6;5(1):e1. doi: 10.1038/emi.2016.1.,29599488,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:10:30,EW,Circ J. 2018 May 25;82(6):1640-1650. doi: 10.1253/circj.CJ-17-1285. Epub 2018 Mar 30.,29607983,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,16S stool,,,,,,,,,,
6/26/2024 17:06:36,Jack,Circ J. 2018 May 25;82(6):1640-1650. doi: 10.1253/circj.CJ-17-1285. Epub 2018 Mar 30.,29607983,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:18:36,EW,Microbiome. 2018 Apr 3;6(1):66. doi: 10.1186/s40168-018-0441-4.,29615110,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,"coronary heart disease, not heart failure, and STEMI",
6/27/2024 9:28:36,Jack,Microbiome. 2018 Apr 3;6(1):66. doi: 10.1186/s40168-018-0441-4.,29615110,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:13:10,EW,Semin Dial. 2018 May;31(3):258-267. doi: 10.1111/sdi.12694. Epub 2018 Apr 6.,29624739,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 9:18:11,Jack,Semin Dial. 2018 May;31(3):258-267. doi: 10.1111/sdi.12694. Epub 2018 Apr 6.,29624739,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:38:56,EW,Nihon Yakurigaku Zasshi. 2018;151(4):148-154. doi: 10.1254/fpj.151.148.,29628462,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 11:57:32,Jack,Nihon Yakurigaku Zasshi. 2018;151(4):148-154. doi: 10.1254/fpj.151.148.,29628462,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:37:35,EW,Methods Mol Biol. 2018;1781:145-169. doi: 10.1007/978-1-4939-7828-1_9.,29705847,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,depression in HF patients,
6/27/2024 11:56:28,Jack,Methods Mol Biol. 2018;1781:145-169. doi: 10.1007/978-1-4939-7828-1_9.,29705847,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:11:37,EW,BMC Infect Dis. 2018 May 11;18(1):217. doi: 10.1186/s12879-018-3123-8.,29751747,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/26/2024 17:08:20,Jack,BMC Infect Dis. 2018 May 11;18(1):217. doi: 10.1186/s12879-018-3123-8.,29751747,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/15/2024 13:35:10,EW,Clin Rev Allergy Immunol. 2019 Oct;57(2):179-193. doi: 10.1007/s12016-018-8690-3.,29754190,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/28/2024 8:42:16,Jack,Clin Rev Allergy Immunol. 2019 Oct;57(2):179-193. doi: 10.1007/s12016-018-8690-3.,29754190,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 13:56:01,EW,Biomed Pharmacother. 2018 Aug;104:465-473. doi: 10.1016/j.biopha.2018.05.067. Epub 2018 May 25.,29793179,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:42:52,Jack,Biomed Pharmacother. 2018 Aug;104:465-473. doi: 10.1016/j.biopha.2018.05.067. Epub 2018 May 25.,29793179,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:07:46,EW,Int J Mol Sci. 2018 May 30;19(6):1605. doi: 10.3390/ijms19061605.,29848961,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:56:39,Jack,Int J Mol Sci. 2018 May 30;19(6):1605. doi: 10.3390/ijms19061605.,29848961,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:29:56,EW,Inflamm Intest Dis. 2016 Oct;1(3):135-145. doi: 10.1159/000447252. Epub 2016 Jul 20.,29922669,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 16:26:32,Leise,Inflamm Intest Dis. 2016 Oct;1(3):135-145. doi: 10.1159/000447252. Epub 2016 Jul 20.,29922669,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:04:14,EW,Nat Med. 2018 Jul;24(7):1070-1080. doi: 10.1038/s41591-018-0061-3. Epub 2018 Jun 25.,29942096,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics",,"Plasma, Urine",,,,,,,,,,,hepatic steatosis not hf,
6/24/2024 22:51:18,Jack,Nat Med. 2018 Jul;24(7):1070-1080. doi: 10.1038/s41591-018-0061-3. Epub 2018 Jun 25.,29942096,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:52:21,Jack,Nat Med. 2018 Jul;24(7):1070-1080. doi: 10.1038/s41591-018-0061-3. Epub 2018 Jun 25.,29942096,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:06:26,EW,Gastroenterol Res Pract. 2018 Jun 3;2018:6458094. doi: 10.1155/2018/6458094. eCollection 2018.,29967639,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:54:54,Jack,Gastroenterol Res Pract. 2018 Jun 3;2018:6458094. doi: 10.1155/2018/6458094. eCollection 2018.,29967639,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:36:50,EW,Kardiol Pol. 2018;76(8):1203-1216. doi: 10.5603/KP.a2018.0146. Epub 2018 Jul 5.,29974447,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 11:43:27,Jack,Kardiol Pol. 2018;76(8):1203-1216. doi: 10.5603/KP.a2018.0146. Epub 2018 Jul 5.,29974447,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 13:55:05,EW,Arterioscler Thromb Vasc Biol. 2018 Sep;38(9):2225-2235. doi: 10.1161/ATVBAHA.118.311023.,29976769,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",stable isotope dilution liquid chromatography with online tandem mass spectrometry ,,,,,,,,,,,,,
6/24/2024 22:41:40,Jack,Arterioscler Thromb Vasc Biol. 2018 Sep;38(9):2225-2235. doi: 10.1161/ATVBAHA.118.311023.,29976769,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 13:46:09,EW,Minerva Gastroenterol Dietol. 2018 Dec;64(4):351-362. doi: 10.23736/S1121-421X.18.02511-4. Epub 2018 Jul 18.,30016852,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:32:39,Jack,Minerva Gastroenterol Dietol. 2018 Dec;64(4):351-362. doi: 10.23736/S1121-421X.18.02511-4. Epub 2018 Jul 18.,30016852,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 13:57:22,EW,Diabetol Metab Syndr. 2018 Jul 21;10:59. doi: 10.1186/s13098-018-0360-3. eCollection 2018.,30038669,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,study of only men >:(,
6/24/2024 22:44:21,Jack,Diabetol Metab Syndr. 2018 Jul 21;10:59. doi: 10.1186/s13098-018-0360-3. eCollection 2018.,30038669,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:10:11,EW,JACC Basic Transl Sci. 2017 Dec 25;2(6):757-769. doi: 10.1016/j.jacbts.2017.07.010. eCollection 2017 Dec.,30062185,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 12:08:32,Jack,JACC Basic Transl Sci. 2017 Dec 25;2(6):757-769. doi: 10.1016/j.jacbts.2017.07.010. eCollection 2017 Dec.,30062185,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 13:59:12,EW,Front Cardiovasc Med. 2018 Jul 17;5:89. doi: 10.3389/fcvm.2018.00089. eCollection 2018.,30065929,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 22:46:13,Jack,Front Cardiovasc Med. 2018 Jul 17;5:89. doi: 10.3389/fcvm.2018.00089. eCollection 2018.,30065929,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/15/2024 15:25:18,EW,Trends Cardiovasc Med. 2019 Apr;29(3):141-147. doi: 10.1016/j.tcm.2018.08.003. Epub 2018 Aug 7.,30126689,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/28/2024 17:00:29,Jack,Trends Cardiovasc Med. 2019 Apr;29(3):141-147. doi: 10.1016/j.tcm.2018.08.003. Epub 2018 Aug 7.,30126689,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:01:12,EW,Iran J Public Health. 2018 Jul;47(7):1017-1029.,30182001,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics","NMR, Nuclear magnetic resonance spectrometry",Serum,,,,,,,,,,,Acute Myocardial Infarction Patients  no hf,
